item,dept,unit_cost,stock_on_hand
"7447",74,31273,8234,84986
"8422",74,13124,6907,99763
"8741",74,15018,7966,55687
"8781",74,15838,6975,52588
"8960",74,17669,259,6808
"9205",74,32593,5215,23539
"9585",74,39740,4877,4746
"9630",74,27362,8895,36258
"9710",74,22029,2665,72365
"247",81,16917,2196,66922
"2722",81,22485,0071,32743
"3441",81,41425,8349,80810
"3938",81,16882,9565,90118
"4110",81,9021,1136,18947
"4371",81,25748,3764,32676
"6785",81,9463,9416,58743
"6891",81,36149,2118,43096
"7158",81,28806,1091,9953
"8822",81,38516,8548,55765
"9070",81,31983,9715,95344
"9471",81,42034,8287,37842
"113",97,49300,9539,98938
"718",97,22037,7575,27851
"817",97,7157,533,60936
"2506",97,9123,6258,15463
"5089",97,25294,79,73993
"5782",97,42325,184,98158
"6034",97,41677,2983,73300
"6079",97,29900,4743,56652
"7416",97,28494,6241,12357
"7474",97,24923,6018,53087
"7827",97,16181,4028,41330
"8746",97,13575,9095,97951
"8814",97,42892,6177,14539
"492",55,26900,1216,24868
"1202",55,37360,1757,72127
"1618",55,33808,6807,83788
"2202",55,14443,0005,61195
"2904",55,19452,5098,70952
"3551",55,15331,446,82999
"4102",55,31568,3277,13069
"4133",55,33453,4718,44249
"4743",55,43128,7481,25750
"4835",55,15142,8063,53854
"5392",55,28586,7968,31568
"6411",55,36409,2724,38370
"7693",55,15762,7148,54728
"99",74,44001,5746,64125
"481",74,37617,0561,89053
"662",74,36443,3905,71664
"1723",74,17000,8861,39380
"2322",74,43587,8873,69337
"3144",74,42686,8179,16207
"3747",74,12353,5719,4744
"4238",74,23508,5656,97898
"5250",74,26115,5646,46043
"5661",74,41697,6779,5805
"6787",74,36276,6822,34315
"8002",74,29026,2993,5435
"9451",74,43441,0408,76841
"9690",74,47122,1901,60198
"985",81,42780,2906,65044
"2247",81,31860,828,11761
"2324",81,40799,3178,27821
"2358",81,32211,5961,29847
"4539",81,9301,4126,82818
"4791",81,16089,2948,41476
"5279",81,23148,7364,42919
"5624",81,11440,7237,38982
"6652",81,22668,9672,98032
"7392",81,5382,5597,30975
"7983",81,5119,0451,16837
"8098",81,22414,5324,39037
"8567",81,24999,2601,62712
"91",97,7186,345,40994
"864",97,38119,8854,30075
"1549",97,18286,7749,34144
"2614",97,37611,2108,47844
"4300",97,43122,1342,95340
"5429",97,22374,5064,13812
"5567",97,36157,5009,90887
"7757",97,23453,1167,49528
"8319",97,27873,5774,57005
"9935",97,26567,8335,96559
"148",55,5850,8431,67642
"389",55,29091,123,57157
"2346",55,21168,4257,73664
"3314",55,24453,8012,25968
"4444",55,36915,1185,88053
"5557",55,33349,9066,38586
"6573",55,10822,1685,59234
"9523",55,8977,1004,33877
"1222",74,35646,5668,82076
"1292",74,12182,035,56049
"1489",74,16587,2749,74809
"1680",74,21058,5808,38524
"1689",74,33958,7954,16209
"1817",74,18946,9873,40858
"1927",74,44686,4929,83177
"2005",74,45716,8223,64269
"3045",74,12385,0527,27335
"4464",74,34488,3283,47813
"4501",74,30233,4509,61373
"4732",74,46146,2603,48429
"7718",74,25198,118,55622
"8085",74,47018,4719,36353
"8272",74,40739,6232,26351
"8603",74,49910,389,39233
"8776",74,48574,8685,58534
"9119",74,26968,3138,88008
"9961",74,47347,329,94458
"253",81,14144,8272,79410
"2467",81,19158,0961,98198
"2499",81,16314,7491,69177
"2505",81,47096,8933,80706
"2908",81,13912,4401,19426
"4828",81,33614,095,27527
"5575",81,47517,5471,13199
"6493",81,6037,6212,14090
"6548",81,27713,3383,40299
"6666",81,30289,7366,73110
"8421",81,23481,2841,44035
"8942",81,8508,8988,4239
"353",97,35046,7571,22109
"838",97,13249,9893,84256
"1440",97,47810,3862,22418
"1878",97,44852,5956,54783
"4862",97,46791,7395,4718
"5459",97,15917,2168,65244
"5887",97,21836,0759,63044
"7165",97,35312,3569,10278
"7853",97,26515,3424,1771
"7925",97,47145,8026,73343
"9813",97,18271,4433,70000
"956",55,47533,3927,77302
"2044",55,35904,5455,92084
"3485",55,10103,4302,70715
"3558",55,30031,5686,85677
"4486",55,8041,4978,34495
"4778",55,19187,6475,99248
"6592",55,7135,8555,87828
"6995",55,19700,9744,19959
"8022",55,23213,2646,9340
"8934",55,9407,7306,35968
"9319",55,31121,3075,87227
"9556",55,49835,8367,59703
"1345",74,48611,4131,32176
"2833",74,15962,6453,63894
"3401",74,31317,0327,71656
"3556",74,26077,0437,48597
"4060",74,29545,5742,50653
"4515",74,14679,995,99780
"4564",74,13001,9772,22354
"5017",74,9608,5932,41256
"5726",74,37886,7122,12601
"6394",74,25783,2492,1134
"6435",74,32928,8863,35912
"6655",74,21419,8075,62782
"8680",74,36355,075,71903
"9313",74,19084,4237,96818
"9592",74,21747,6312,97010
"958",81,16129,0847,30008
"1212",81,44337,7774,68495
"2095",81,39141,5986,72942
"4280",81,34684,7765,30995
"4942",81,16110,4332,84095
"5157",81,35647,0711,86151
"5842",81,27998,993,20906
"6503",81,16475,6906,34001
"6697",81,49903,3586,5206
"7661",81,38079,9717,12871
"8883",81,29035,2799,12142
"9840",81,25038,5984,73968
"132",97,9429,1576,42413
"938",97,13611,6134,39609
"975",97,21381,5463,23113
"1303",97,13889,9264,66326
"2496",97,32811,1614,12565
"3727",97,16042,1886,99730
"4788",97,45682,4975,61627
"4907",97,5502,0659,30345
"5746",97,32125,002,13199
"5853",97,43823,5414,47506
"5985",97,9547,1565,72240
"7143",97,10509,1694,26244
"7842",97,45316,3625,81894
"9586",97,11322,8279,40125
"2007",55,33701,6918,51318
"2249",55,43143,3906,61357
"3421",55,44122,4382,90980
"3803",55,40614,1447,90254
"4253",55,36912,0095,89479
"4713",55,11194,3566,13371
"5618",55,29481,0069,73373
"7394",55,11628,1172,35406
"7864",55,46945,1429,89120
"8622",55,31132,394,58133
"9846",55,35306,043,67140
"59",74,6055,2817,54023
"4097",74,25655,6483,33708
"5595",74,25965,2973,6976
"6286",74,6400,5187,86649
"7166",74,49018,4269,48667
"8001",74,18684,4272,86034
"9528",74,15546,1231,61130
"9860",74,31662,2612,99370
"1280",81,42237,5535,16084
"1614",81,12194,0208,24916
"6400",81,36160,2613,24672
"6549",81,30298,1106,14496
"6748",81,47220,3409,58284
"8274",81,12211,9451,47947
"9485",81,34467,5518,41270
"9632",81,16835,7679,20021
"218",97,20721,979,2402
"563",97,45875,6433,12374
"798",97,34439,6604,55053
"962",97,23182,6453,22212
"1285",97,39614,2248,58554
"1359",97,17563,9371,12221
"2439",97,11258,8416,6881
"3080",97,22659,4391,73344
"3957",97,23286,3752,88097
"4593",97,46122,6079,58243
"4659",97,7754,0469,80927
"5085",97,34149,4761,3337
"5193",97,41597,4815,59211
"5391",97,12631,8658,61509
"5494",97,34110,7265,15174
"5623",97,30974,5072,18711
"5630",97,21374,6331,9774
"5934",97,46768,9886,35873
"6761",97,30420,6994,42538
"8046",97,34245,7571,81001
"8954",97,43185,5596,34407
"9661",97,30445,8549,37978
"405",55,22135,7122,61632
"451",55,5905,573,7646
"1539",55,24202,7986,44382
"1815",55,38843,8618,80208
"2175",55,45055,4115,63891
"3019",55,12012,7142,11821
"3796",55,18392,8037,75163
"4767",55,29283,7477,19924
"7540",55,25497,3665,35256
"8989",55,15762,3892,45689
"9177",55,8921,5179,11970
"316",74,36515,1872,27174
"540",74,17469,1392,82127
"1427",74,42756,2,40717
"2312",74,6258,7889,59365
"3137",74,14333,2597,40619
"3414",74,41647,7561,22319
"6149",18,13725,6691,39750
"6468",18,32092,2392,87599
"6653",18,24044,1049,68024
"7208",18,42808,3049,32167
"8526",18,6503,8094,1993
"9549",18,47552,1979,38645
"1932",20,18767,4978,95081
"2675",20,9685,9858,47278
"4330",20,13830,5981,14261
"4384",20,13493,263,98645
"4487",20,37441,0472,79359
"5283",20,37974,4302,2155
"6497",20,45826,6086,52755
"6928",20,38595,9223,91186
"7310",20,36496,0831,37714
"8013",20,35621,7474,68664
"8064",20,42153,0879,87948
"9028",20,40676,0473,28242
"9457",20,28297,1195,50190
"10",68,9626,1449,88478
"1632",68,27339,4117,10489
"2132",68,30140,2428,68041
"2795",68,46150,3879,59581
"5456",68,42938,8157,5007
"6346",68,8907,2443,53467
"8145",68,20532,8567,65086
"9921",68,47718,3436,79375
"363",73,29536,0549,74814
"1532",73,15580,8449,8786
"1686",73,37906,3093,92110
"3911",73,44687,1535,51411
"4209",73,5698,2,90733
"4876",73,38546,3053,50548
"4963",73,10963,296,64329
"5606",73,13633,2259,31061
"5864",73,15774,9682,99654
"6630",73,41737,5443,18433
"6851",73,22562,9563,55188
"7822",73,33163,0395,31154
"612",85,24983,9075,21657
"1628",85,46881,8216,11210
"1662",85,29590,4423,47402
"3525",85,48291,7439,72819
"6292",85,46292,198,17552
"7070",85,24878,3125,44692
"7761",85,17393,1336,11362
"1431",2,18565,3581,54682
"1740",2,7259,2722,79228
"3412",2,23768,7787,83137
"3498",2,42774,0311,8812
"3543",2,20059,8258,59346
"5341",2,23105,7481,3180
"5488",2,9466,4978,57217
"5747",2,19281,2414,18630
"7644",2,11533,6158,9460
"7650",2,42956,2162,39541
"7692",2,15155,7105,80351
"7803",2,29026,9581,80466
"8829",2,27294,9274,22376
"231",18,43010,3727,27608
"237",18,10527,3445,10605
"590",18,36240,8108,15744
"1174",18,22493,4883,90637
"1372",18,40386,3013,96435
"2684",18,27882,2418,89231
"3536",18,18604,8138,79188
"3587",18,39276,4052,27721
"3935",18,39312,9935,38391
"4968",18,34374,3357,8450
"7099",18,32430,5264,10547
"7373",18,45402,4382,72354
"8034",18,34386,3709,27303
"9423",18,19654,4627,62796
"9712",18,29459,9164,67606
"1231",20,45448,2135,41834
"2093",20,33402,3542,16659
"2227",20,38187,6648,96598
"3667",20,11850,9199,31813
"3699",20,35245,3765,46848
"7080",20,33430,8922,6521
"7478",20,11144,9124,11817
"7993",20,13965,3686,55849
"9322",20,10571,0328,37058
"9426",20,48218,0644,67678
"9786",20,36223,5238,79249
"65",68,45750,7322,16282
"202",68,43791,8629,47008
"1266",68,27662,3413,93017
"1401",68,12334,1171,61179
"2001",68,11263,1998,92430
"3788",68,21306,8309,73509
"5018",68,41541,7762,33950
"6926",68,39721,2287,96049
"9491",68,14443,2634,90150
"9682",68,42877,0916,72635
"2157",73,28318,4084,58922
"3656",73,48618,5366,62201
"4388",73,49805,3565,35133
"5171",73,34695,049,20712
"6660",73,27633,536,16843
"6751",73,32118,4331,35193
"6799",73,28332,5282,98017
"7201",73,19786,7052,65408
"8511",73,37742,8988,94293
"9876",73,10642,7645,3956
"332",85,49679,6224,4373
"1015",85,43916,0341,77862
"1105",85,42479,8687,61447
"1390",85,49405,6147,49878
"1483",85,42257,0822,57608
"3071",85,13837,7109,81685
"3339",85,19262,9951,45439
"3635",85,39523,6833,17941
"3672",85,30105,2033,63987
"4967",85,48486,4934,3254
"7248",85,11649,6731,50814
"7372",85,42039,8999,78029
"8031",85,16216,9115,13387
"9108",85,33369,6891,65192
"9454",85,26489,4581,73805
"9795",85,35627,7191,12496
"43",2,27660,7121,68458
"1286",2,8777,3165,75336
"2530",2,21094,9418,85726
"4511",2,39267,9604,57242
"4927",2,16274,9492,82311
"5346",2,22117,7807,56292
"6148",2,46370,1006,33636
"6691",2,45328,6416,22867
"9125",2,36444,5936,36469
"375",18,43691,8528,84481
"635",18,46168,0491,41816
"961",18,6870,1466,34680
"1406",18,28644,0861,21281
"2877",18,7491,3314,33380
"3130",18,24685,2715,9495
"3225",18,21536,8843,91569
"3297",18,31927,7822,41739
"3965",18,21885,4472,52862
"4037",18,8000,0545,49907
"4311",18,26540,6228,37862
"5253",18,46401,7881,89601
"6031",18,48451,6739,61162
"6165",18,28704,0158,60550
"8591",18,16334,1565,87283
"8902",18,38602,4749,32523
"9725",18,7972,0383,88770
"872",20,21207,2877,9096
"1135",20,44181,2841,82650
"2609",20,19283,4526,93733
"3484",20,32774,7681,4459
"3746",20,11475,2083,66165
"4350",20,29438,3668,58172
"4565",20,36822,2645,3770
"5792",20,45900,7051,55088
"6678",20,37990,5974,72662
"7149",20,46084,8663,51630
"7791",20,6115,6263,57424
"337",68,32511,3892,71232
"797",68,28586,7436,66324
"914",68,9653,3927,51175
"1011",68,27787,1455,56991
"1597",68,39672,4903,28336
"3453",68,11242,6948,56724
"4104",68,45067,9464,61617
"4131",68,7680,9747,63687
"4215",68,13221,108,29897
"4699",68,13000,7763,50543
"4817",68,21980,8272,26470
"4882",68,42931,7893,10220
"4997",68,48746,1094,80884
"5405",68,28789,5194,7816
"7520",68,7025,9464,8319
"8032",68,10446,7745,44907
"8515",68,8213,1947,19175
"530",73,24277,9948,5261
"744",73,20472,9449,1151
"1055",73,9990,1032,51044
"3585",73,12883,9427,14874
"4392",73,14999,7168,85814
"5857",73,26251,7516,4532
"8490",73,35090,2503,67724
"8541",73,14222,0726,22206
"9158",73,19835,1851,12689
"111",85,23050,6659,4604
"1106",85,17879,4496,9296
"2089",85,41397,8912,94408
"3120",85,39230,2042,96779
"3858",85,39758,4648,91815
"4246",85,35632,1607,94406
"5099",85,5866,3534,78602
"6046",85,13291,5714,25931
"7381",85,38235,3453,81454
"8787",85,5765,4382,93349
"9678",85,8927,98,40246
"9781",85,48398,149,63557
"9984",85,33767,4931,4598
"675",2,27034,7697,24708
"1800",2,20648,9245,7040
"2647",2,11580,7431,80229
"2959",2,9850,1632,90130
"5054",2,42456,5561,86747
"5523",2,44370,2553,58500
"5949",2,37789,7648,14520
"6966",2,12730,8279,15939
"7043",2,18198,8363,46867
"8692",2,12577,7049,74667
"9502",2,44037,1521,93601
"3411",18,21823,1176,72143
"3515",18,30247,9013,83206
"3783",18,8333,4641,63990
"3970",18,16188,6224,82514
"4914",18,14679,1578,53477
"6898",18,44321,3276,81126
"6937",18,31482,4171,39886
"7398",18,39402,7,26584
"7566",18,46908,3309,9321
"8058",18,38572,2923,19050
"8171",18,9590,7194,99458
"8270",18,25516,6027,38977
"8702",18,26045,7252,99326
"9865",18,12092,9807,80188
"1000",20,12706,3112,90767
"1545",20,15579,7919,98705
"2220",20,12566,3842,22831
"3004",20,16672,1797,58866
"5561",20,32729,1554,62951
"5579",20,9738,4541,38085
"6994",20,44457,4427,56596
"6999",20,41331,3168,89378
"8372",20,45933,0398,88004
"1352",68,13962,6454,97989
"3002",68,14619,6312,58451
"3336",68,16518,7494,31745
"4494",68,25914,1623,7653
"6008",68,27383,1729,10523
"6975",68,38886,4788,55551
"7197",68,44658,2513,24997
"9736",68,5855,185,74758
"45",73,28374,9722,44537
"331",73,33634,7344,42433
"1008",73,8956,5997,38339
"1252",73,48206,895,22549
"2307",73,36214,3899,1300
"2531",73,19852,7091,96835
"2598",73,33524,8402,59362
"3318",73,22585,7445,76432
"4288",73,37049,6105,45591
"5846",73,38530,4925,16767
"5973",73,20396,9701,33161
"8213",73,31118,9275,15736
"8818",73,16321,3691,24727
"8857",73,49967,5481,84512
"9153",73,19700,0791,29672
"9976",73,19394,1095,54598
"789",85,45422,2628,98195
"900",85,31167,2997,45651
"3349",85,18447,5631,16276
"4196",85,49219,8111,74169
"4730",85,49565,9515,84509
"5605",85,28884,9703,58161
"5640",85,5648,3105,98574
"5692",85,26408,2824,25939
"6104",85,38137,9534,30326
"6853",85,19930,2741,86004
"7555",85,22476,9048,53254
"7717",85,24086,7683,51672
"8842",85,20670,9787,60798
"9324",85,28950,7476,70879
"3660",2,24194,8771,71534
"4530",2,17647,2536,64412
"4857",2,20164,4225,60083
"5484",2,15908,5696,29660
"5599",2,6836,1542,48403
"6858",2,46515,1644,95135
"7072",2,10026,063,68770
"307",18,12365,386,5061
"1085",18,6430,2501,82589
"1307",18,48015,5786,82808
"1831",18,25078,5501,11953
"2248",18,7779,2534,12892
"2659",18,32033,6458,39974
"5435",18,38843,8734,22445
"5894",18,10790,3411,73532
"6012",18,15669,8881,84711
"6269",18,12800,9912,37815
"6822",18,22683,1304,26952
"7388",18,17216,8795,82389
"7778",18,9728,9281,10908
"8362",18,48357,4124,68619
"367",20,24755,9785,3126
"1024",20,45404,8374,33837
"1458",20,25245,8609,21033
"1565",20,15456,5811,84718
"1598",20,10201,209,48141
"1601",20,22501,8866,85440
"1770",20,18278,5611,98037
"2085",20,6538,5112,18583
"4009",20,35902,6673,22534
"4513",20,24914,3626,82728
"4745",20,12094,1953,57337
"4780",20,10324,6392,22409
"5005",20,36946,6069,91982
"5251",20,32104,4996,70913
"6455",20,27889,5911,45720
"7439",20,40379,2609,76676
"7501",20,35223,4924,38496
"9389",20,41995,5996,51483
"9857",20,45137,6627,62732
"583",68,19464,9358,50061
"924",68,16870,8151,95010
"2894",68,13970,8861,90675
"3089",68,39208,8402,6918
"4119",68,11377,2376,6953
"4279",68,34818,7578,36412
"6049",68,17646,6693,5898
"9477",68,5467,838,97672
"446",73,35788,5339,26794
"656",73,20559,1312,65405
"1776",73,37213,6047,62311
"2572",73,44659,9775,66076
"3696",73,6159,0067,52317
"5817",73,33603,0149,71346
"7193",73,40428,0997,8543
"7361",73,49308,5502,10510
"8257",73,31717,8439,36763
"2764",85,45803,8939,71838
"3201",85,48691,8876,57474
"3290",85,35941,4971,15493
"4746",85,20543,8241,62355
"4839",85,46260,0342,58603
"4986",85,7669,4782,46999
"5612",85,35720,2384,65885
"6459",85,29941,8564,21729
"6769",85,48109,21,85777
"7908",85,7169,4624,27187
"8417",85,7453,372,80316
"9059",85,21227,2929,37716
"9211",85,43879,9661,98683
"2615",6,14881,1993,90928
"2928",6,42922,5816,6039
"3123",6,33837,1859,11852
"4306",6,44473,5609,81398
"5764",6,19858,3871,28736
"6819",6,37303,645,72191
"6947",6,19396,3515,24708
"7249",6,25406,4092,11788
"7666",6,44728,8842,97344
"7671",6,12046,9738,5265
"8011",6,17092,6394,76273
"8865",6,45588,6836,29956
"84",11,19238,9429,72349
"106",11,39815,8393,57576
"427",11,35099,3367,10260
"548",11,30680,0102,21717
"1339",11,5929,3109,84923
"1531",11,48474,5696,99468
"1784",11,14984,4756,44180
"1911",11,33476,9835,95896
"2323",11,9962,4508,78446
"2591",11,43461,6784,45779
"3676",11,15192,0454,19460
"4332",11,10189,2833,76315
"5070",11,44580,5243,3975
"5231",11,32721,7138,70155
"5328",11,24068,8438,62563
"5915",11,13290,8456,50246
"5938",11,28284,8864,75808
"6570",11,47698,0174,68036
"6596",11,6050,1336,57935
"9418",11,47633,3757,64788
"9602",11,12424,574,87349
"9975",11,49601,0842,5307
"265",30,45952,6815,94949
"1750",30,47707,6049,73922
"2425",30,40497,5649,50936
"2636",30,49415,3082,51869
"3377",30,12857,002,80341
"6086",30,10842,4206,76868
"7599",30,14069,4398,4681
"7776",30,49044,5057,21946
"8632",30,6974,4676,1039
"9335",30,38018,9008,71642
"9671",30,6768,2327,11760
"5",34,27003,9898,73129
"1042",34,36987,7435,69661
"1258",34,45959,1241,10474
"2225",34,39324,185,95348
"4703",34,13020,4591,6731
"6025",34,8497,3402,87929
"6270",34,14008,7992,31339
"6650",34,12485,5181,46217
"6911",34,13190,4718,76099
"7092",34,17722,3168,64494
"7214",34,33106,9,97652
"8407",34,11663,7011,67613
"9345",34,19622,0348,87012
"464",46,7794,254,80529
"1291",46,40018,1057,55328
"3703",46,24025,5157,54376
"5330",46,37468,0072,79364
"5532",46,29549,4431,75821
"5545",46,49284,822,59889
"5834",46,25178,2485,39887
"6645",46,31011,1808,4056
"8425",46,35597,9122,81002
"8550",46,39603,0275,94600
"9225",46,13573,5616,44331
"9355",46,6303,8558,81621
"243",54,24986,8299,56455
"335",54,7774,2996,80130
"812",54,15147,4889,6624
"951",54,17779,276,98156
"1891",54,26477,3379,10550
"2417",54,23133,1792,5024
"2593",54,25138,0082,90361
"2865",54,31660,7736,17363
"3713",54,16076,564,21970
"5449",54,10074,3989,62632
"6546",54,30451,37,37349
"9363",54,20735,7554,46648
"9764",54,12220,8479,30453
"713",88,22428,6383,89401
"799",88,25479,4753,32589
"1228",88,22740,4601,77585
"3012",88,34692,078,71543
"3300",88,31617,7161,27962
"3989",88,43091,9586,91876
"5865",88,5836,1272,37094
"6656",88,28767,1469,10355
"6708",88,9965,9817,46752
"7130",88,15209,9229,88314
"8150",88,37173,7142,46648
"8955",88,40842,2587,83874
"9172",88,11480,6628,32294
"9882",88,24813,6881,67900
"722",6,34001,2583,33460
"4428",6,41946,7756,67657
"7245",6,13582,4559,21038
"8215",6,31004,0355,44746
"9192",6,8651,8562,9363
"9626",6,37467,8099,66434
"454",11,26246,2413,59094
"1523",11,10984,8594,82171
"1790",11,24931,8153,27971
"1997",11,12976,0924,40445
"3248",11,26273,7976,6138
"3844",11,14541,0978,21739
"4878",11,20701,3408,51336
"5538",11,16614,4642,48302
"6488",11,40808,4222,14400
"7239",11,36624,6381,5426
"7922",11,44157,175,8688
"8130",11,20453,7941,24582
"8389",11,22087,5551,42728
"634",30,40837,2451,77715
"902",30,15594,4696,64053
"1340",30,38787,1082,70317
"2607",30,12157,163,56124
"3232",30,44574,3296,88806
"3461",30,7326,7492,97950
"3507",30,36638,4904,24937
"3990",30,6434,9597,61968
"5664",30,16134,7354,62776
"5689",30,5244,9272,27758
"6189",30,20719,4237,78515
"6349",30,30321,8214,10981
"6996",30,15139,5889,95029
"7469",30,7725,6197,17826
"7872",30,8143,8291,32342
"7953",30,40919,9626,49511
"8112",30,43003,6287,80636
"8485",30,45894,9826,44854
"9204",30,11002,4439,82712
"524",34,30779,8406,13889
"918",34,16005,4351,51671
"1828",34,44470,03,34761
"1888",34,25762,1712,79374
"2000",34,44197,6364,98715
"4463",34,40194,4382,39576
"5582",34,14285,4606,79592
"6153",34,39526,7887,9196
"6464",34,32818,1462,6749
"6638",34,37225,4283,65337
"7544",34,31482,2451,5469
"7838",34,40786,3326,16095
"8316",34,39869,2052,49521
"8625",34,30837,7887,6721
"8946",34,13157,1254,46707
"9499",34,11891,9527,25538
"385",46,18177,9157,76679
"1121",46,21702,5467,73605
"1986",46,43038,268,66493
"3110",46,23496,4834,79814
"4070",46,23176,5984,95071
"4911",46,19006,5448,23565
"5394",46,14379,1672,67478
"6158",46,14293,04,18382
"6765",46,13748,3755,92591
"6856",46,34310,0384,58760
"6932",46,14858,1228,45079
"7553",46,9440,0704,53653
"7943",46,13113,4027,90184
"8182",46,19496,8274,24700
"8522",46,28390,1832,70808
"473",54,49754,2154,52045
"865",54,18172,9667,87228
"1634",54,40175,6859,32642
"2096",54,26051,8414,58408
"3426",54,45138,4509,7134
"3697",54,25039,2684,12072
"5389",54,34308,6848,70074
"5403",54,23891,9401,75833"6390",12,36693,1461,17971
"704",17,27937,7438,29977
"1318",17,24660,9005,50089
"1789",17,29058,1474,33374
"1852",17,9185,8423,77553
"2420",17,26141,6651,27404
"2448",17,35909,2842,42565
"2449",17,19964,0249,41966
"2883",17,42608,1445,56647
"3607",17,35450,1731,82981
"4162",17,44581,7583,47785
"4267",17,21468,2004,6258
"4347",17,34708,5132,67200
"4430",17,31674,79,84026
"5076",17,42327,7686,65380
"5254",17,5422,2347,64015
"6580",17,20343,1839,50951
"6986",17,43233,3904,23449
"8200",17,38320,6529,33679
"8762",17,7735,6572,88763
"9468",17,14870,2057,17262
"941",22,7418,7445,31887
"1178",22,41442,3058,31826
"2520",22,24932,3052,99227
"4386",22,36696,6966,42029
"4733",22,5677,281,94106
"5432",22,9933,7647,46997
"5766",22,31734,3599,7555
"6998",22,12628,847,86121
"7100",22,45562,1296,42828
"9388",22,21272,8664,78914
"3214",39,48637,1632,97546
"5711",39,36128,1908,11954
"5840",39,9279,9513,70540
"6048",39,38912,2479,44343
"6746",39,38125,536,55597
"7403",39,40536,7703,94380
"7639",39,43196,1055,95282
"9443",39,17154,3021,58444
"1118",66,10180,3822,11813
"1312",66,29489,6879,95476
"1699",66,47761,0954,1095
"1987",66,19756,74,48165
"2692",66,41314,0929,69998
"3483",66,33295,6504,58616
"3937",66,27603,9828,55423
"6217",66,15727,2088,90926
"6629",66,8748,7042,26910
"7215",66,23039,1669,45216
"7448",66,16518,0958,69591
"8282",66,30612,0267,67685
"9238",66,38022,7352,11202
"9983",66,37440,1027,23327
"102",83,30085,2019,31616
"323",83,8304,8882,27261
"730",83,7462,7027,70864
"1115",83,12283,7936,41757
"3368",83,26929,7512,99124
"4454",83,48140,7628,65724
"7299",83,21757,5051,23107
"9913",83,12003,7991,91183
"456",12,40269,1075,74123
"534",12,16499,7259,60023
"776",12,5567,2596,93056
"964",12,28048,4178,71636
"1199",12,49499,9642,51348
"1206",12,26687,396,21677
"2469",12,17427,9371,41446
"2545",12,40610,4241,94967
"3708",12,15721,9815,62047
"3947",12,17642,314,51586
"4604",12,8320,0514,90632
"4947",12,38211,6944,33248
"5034",12,9727,8947,28283
"6925",12,46737,1818,63662
"8792",12,35109,5528,91032
"8933",12,17106,038,36214
"9927",12,49833,7793,82924
"833",17,33629,2172,18929
"1626",17,8535,3728,59714
"2078",17,19689,8447,61672
"2689",17,34834,7022,86144
"3220",17,14004,1714,33595
"4759",17,33989,5752,66495
"6404",17,38760,6957,96371
"6734",17,11229,8388,55364
"7725",17,15790,4933,73174
"7828",17,36753,8108,7237
"9884",17,49779,0887,23421
"987",22,45341,2401,78532
"1685",22,19349,4138,53921
"1748",22,24172,2905,52903
"2176",22,37176,5034,11435
"2665",22,33121,8284,36457
"5296",22,7501,6286,86967
"8408",22,43901,4514,21042
"8487",22,6796,6341,8645
"1057",39,39134,7284,56102
"1083",39,10216,0933,46208
"2259",39,5425,0433,67747
"2525",39,40632,4454,39322
"2611",39,11936,0782,29919
"2941",39,12893,3337,87666
"3413",39,6445,0033,29788
"6052",39,43104,9114,65593
"8229",39,36659,8438,50822
"9964",39,46198,0599,68255
"1484",66,6781,0404,12408
"1766",66,46956,5906,33419
"2483",66,33419,4486,11173
"2754",66,34273,7121,80470
"3927",66,10709,3451,27934
"3972",66,46754,9332,76346
"4258",66,41408,1862,77867
"4895",66,30529,8657,23780
"4943",66,38453,4868,9291
"5542",66,30264,2127,2296
"6552",66,45994,2707,53040
"7084",66,36742,0858,65805
"7213",66,6164,2957,11507
"8184",66,44228,0202,44187
"8433",66,36404,3299,50188
"8621",66,29040,6146,73334
"8706",66,11669,2398,61289
"9022",66,15202,5467,43591
"9400",66,36039,4632,99796
"9738",66,33885,9564,17575
"1755",83,25752,9426,28725
"2341",83,27365,956,19128
"2515",83,36779,9034,74422
"2576",83,25845,2591,38905
"3100",83,47100,3553,74924
"4198",83,12396,9193,68646
"4348",83,6180,1805,92341
"4427",83,44808,8884,71680
"6281",83,37378,0148,73051
"6379",83,44704,7807,59375
"8940",83,28537,092,78039
"1317",12,7061,6208,39277
"1605",12,18017,6673,43260
"1714",12,27602,4251,99552
"4071",12,9470,8649,37356
"5519",12,5307,6349,52118
"6736",12,38825,3025,68994
"9138",12,25944,0229,21125
"9548",12,49483,3163,85213
"306",17,28642,1651,62541
"477",17,38588,2208,42286
"515",17,18502,7598,72860
"552",17,41569,3664,34681
"3399",17,26509,4524,13955
"3738",17,39134,2138,99950
"4152",17,9924,5791,15843
"4891",17,28688,1298,99149
"6195",17,13189,8261,56313
"6290",17,25645,7044,18221
"6820",17,40570,395,14728
"7034",17,16090,8705,67173
"98",22,38867,6772,72416
"594",22,31849,9682,35569
"1326",22,42422,9167,68296
"2823",22,14711,2285,64775
"3029",22,46870,6778,21601
"3791",22,37652,5335,91403
"4682",22,24730,0571,36283
"5472",22,41110,7029,91308
"7188",22,21771,7981,86667
"9050",22,6932,3752,63755
"9769",22,10043,1224,88169
"508",39,43830,5754,66756
"1419",39,47224,0349,97502
"1947",39,45728,5968,52277
"2219",39,19172,9747,25674
"2461",39,13359,4932,39733
"4474",39,33108,9362,79992
"4608",39,38953,6235,71172
"5517",39,22559,813,6772
